pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
ACCDSY8EHHF5TSKC,HP PavilionDV5-1010tx 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-paviliondv5-1010tx-6-cell-laptop-battery/p/itmdsy8ejyzdyjmg?pid=ACCDSY8EHHF5TSKC,4999,4999,No rating available
ACCDSY8EHJF6GRMG,HP Compaq Presario CQ43 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-compaq-presario-cq43-6-cell-laptop-battery/p/itmdsy8emjhndp4y?pid=ACCDSY8EHJF6GRMG,4550,2478,1
ACCDSY8EMKXZM8EW,HP Pavilion DV6-2060so 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-pavilion-dv6-2060so-6-cell-laptop-battery/p/itmdsy8eywjkzwhx?pid=ACCDSY8EMKXZM8EW,4970,4970,No rating available
ACCDSY8ERUYRYSUA,HP Presario G50 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-presario-g50-6-cell-laptop-battery/p/itmdsy8ecbgp84gh?pid=ACCDSY8ERUYRYSUA,4999,3690,No rating available
ACCDSY8ESXF9AUHY,Lapguard HP Pavilion DV7-6000 Series 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv7-6000-series-6-cell-laptop-battery/p/itmdsy8enphg26mt?pid=ACCDSY8ESXF9AUHY,3999,1699,No rating available
ACCDSY8EYJ6PTNGT,HP Pavilion DV6z 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-pavilion-dv6z-6-cell-laptop-battery/p/itmdsy8ewhbe3xxz?pid=ACCDSY8EYJ6PTNGT,4999,4999,No rating available
ACCDSY8EYXYYYYVK,HP Pavilion DV6-2070eo 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-pavilion-dv6-2070eo-6-cell-laptop-battery/p/itmdsy8e7mtbtghf?pid=ACCDSY8EYXYYYYVK,4999,4999,No rating available
ACCDTD2ZVUHW6HZA,Capdase Flip Cover for Apple iPad Mini / iPad Mini Retina Display,Capdase,http://www.flipkart.com/capdase-flip-cover-apple-ipad-mini-retina-display/p/itmdtd3frbbcmeyc?pid=ACCDTD2ZVUHW6HZA,2199,1099,3.7
ACCDUFZG8WNABYPV,"Enthopia Back Cover for Ipad Air, Ipad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itme3hbkejzgpf2r?pid=ACCDUFZG8WNABYPV,2895,1499,No rating available
ACCDUFZGJRB9B6PV,"Enthopia Back Cover for Ipad Air, Ipad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itme3hbkzjgf5gcn?pid=ACCDUFZGJRB9B6PV,2895,1499,No rating available
ACCDUFZGNYNJMHGY,"Enthopia Back Cover for Ipad Air, Ipad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduyeqez6ydkhb?pid=ACCDUFZGNYNJMHGY,2895,1499,No rating available
ACCDUFZGPZPYYWDT,"Enthopia Back Cover for Ipad Air, Ipad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itme6h6swwwfycnp?pid=ACCDUFZGPZPYYWDT,2895,1895,No rating available
ACCDUFZGRNKUHPNZ,"Enthopia Back Cover for Ipad Air, Ipad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itme3hbky5c7jgus?pid=ACCDUFZGRNKUHPNZ,2895,1895,No rating available
ACCDUFZGTEBTHVZ7,"Enthopia Back Cover for Ipad Air, Ipad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmebytf9gzmark7?pid=ACCDUFZGTEBTHVZ7,2895,1499,No rating available
ACCDUV7Y3TYPAT25,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zjuywstcv?pid=ACCDUV7Y3TYPAT25,2895,1699,No rating available
ACCDUV7Z2FV2ZQ8Q,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zfsvbgyy6?pid=ACCDUV7Z2FV2ZQ8Q,2895,1499,No rating available
ACCDUV7Z2WHFA4XR,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv8yefkadxh8?pid=ACCDUV7Z2WHFA4XR,2895,1699,No rating available
ACCDUV7ZCXWPB4WR,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zp4n5mzwa?pid=ACCDUV7ZCXWPB4WR,2895,1499,No rating available
ACCDUV7ZCZZNYQ96,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zqk5gpezq?pid=ACCDUV7ZCZZNYQ96,2895,1699,No rating available
ACCDUV7ZE8CAAYZK,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zguauenp8?pid=ACCDUV7ZE8CAAYZK,2895,1499,No rating available
ACCDUV7ZEHYTPNHY,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zbts3hgyh?pid=ACCDUV7ZEHYTPNHY,2895,1699,No rating available
ACCDUV7ZFXEHS3HH,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zdzkzphga?pid=ACCDUV7ZFXEHS3HH,2895,1699,No rating available
ACCDUV7ZG4KUGCUA,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zfrh5dquf?pid=ACCDUV7ZG4KUGCUA,2895,1699,No rating available
ACCDUV7ZGSAHDAMB,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zyr7utqww?pid=ACCDUV7ZGSAHDAMB,2895,1699,No rating available
ACCDUV7ZGSHWY8AR,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zwfnmyprc?pid=ACCDUV7ZGSHWY8AR,2895,1499,No rating available
ACCDUV7ZHCMKUSCD,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7z8zjrs5pg?pid=ACCDUV7ZHCMKUSCD,2895,1699,No rating available
ACCDUV7ZHP47FPZQ,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zugpqagsu?pid=ACCDUV7ZHP47FPZQ,2895,1699,No rating available
ACCDUV7ZHP6MUVQV,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zbev3ahv7?pid=ACCDUV7ZHP6MUVQV,2895,1699,No rating available
ACCDUV7ZHXVZU5NG,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zayrrzdbt?pid=ACCDUV7ZHXVZU5NG,2895,1499,No rating available
